global index i, global index j, local index i, local index j, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33, number of matches 
46, 47, 30, 37, 0.0032019643909072305, 0.0024320489913276892, -0.005492377184305718, 0.9999891618566055, -0.003990858441355181, 0.002397752744567324, 0.0039864678027264, 0.9999903737812076, 0.001833144669091106, -0.002405045484151454, -0.0018235662370907674, 0.9999954451708262, 664
47, 48, 37, 40, -0.0013903841171390918, 0.014935935593577988, 0.023354028992550128, 0.9999926525376828, 0.003722447967162542, 0.0009155609105515418, -0.0037212329773692525, 0.9999921981219659, -0.0013251869026609186, -0.0009204867067490006, 0.001321770150447103, 0.9999987028131045, 813
48, 49, 40, 46, -0.00305739914375254, 0.019863945365404652, 0.018783151238409648, 0.9999911357524717, 0.0018998969364927888, 0.003757500247818818, -0.0018848751590288025, 0.9999902342907625, -0.0039973201949005934, -0.003765058049556292, 0.003990202342787776, 0.9999849511983404, 773
49, 50, 46, 53, 0.0007528118131898807, 0.005006840207660008, -0.01661869652901767, 0.9999966393014795, 0.0024969792674888343, 0.0006974813862611482, -0.0024967071673531616, 0.9999968068917559, -0.0003907167934352561, -0.0006984547708602845, 0.0003889740735776105, 0.9999996804300006, 795
50, 51, 53, 55, -0.021697504651930787, 0.005171997162502992, -0.017720350796930656, 0.9999898276824688, -0.0004154132360622108, 0.004491320900325659, 0.0004173175032474871, 0.9999998234334145, -0.00042305938278238347, -0.004491144362841305, 0.0004249293861119613, 0.9999898244768933, 696
51, 52, 55, 60, -0.02553960915490121, 0.2142067304095971, -0.034130750611953795, 0.9999991849002179, -0.000861317702175069, -0.0009425129790087973, 0.0008546923123183291, 0.9999750821747609, -0.00700746249589398, 0.000948525145130454, 0.0070066512255154145, 0.9999750032569079, 486
52, 53, 60, 65, -0.0327920267042635, 0.30450816843719275, 0.031027054266316485, 0.9997751976085447, 0.008442907773655183, -0.01944920448555859, -0.0053120446764274845, 0.9877845741844924, 0.15573508655571666, 0.02052648114390475, -0.15559676189267738, 0.9876073669532657, 380
53, 54, 65, 70, -0.039974827153955686, 0.3889015178399537, 0.06572149834829746, 0.999857737105552, 0.01629522521035748, 0.004355592440609729, -0.015505263442458388, 0.9896040791076459, -0.14298025534698228, -0.006640207507670544, 0.1428923799537682, 0.989715956926735, 312
54, 55, 70, 75, -0.006201262204211255, 0.1991649035141538, 0.0178595743798233, 0.9999608832274663, -0.00882800110859828, 0.0005462704201832032, 0.008794359861041375, 0.9989426183372235, 0.04512543079247637, -0.0009440601569197392, -0.04511886153260805, 0.9989811795446507, 398
55, 56, 75, 80, 0.013817753425555107, 0.1675515267957077, 0.01597742746142558, 0.9999577548795753, -0.008530972260353105, 0.0034221292337083954, 0.008778856970199, 0.9967145120913283, -0.08051778099800133, -0.0027239909133300773, 0.08054442189772298, 0.9967472979520264, 492
56, 57, 80, 89, -0.005294464102330593, -0.05939468750267672, 0.002327833423892122, 0.9999924004206132, -0.0038751071672236755, -0.0004273704039058213, 0.003877837195287868, 0.9999708081953878, 0.006583702282912835, 0.00040184537628895796, -0.006585309522393101, 0.9999782358725553, 455
57, 58, 89, 90, 0.024681054473296618, -0.4158726942562231, 0.03635056601795433, 0.999921065023931, -0.00036631736093245543, 0.01255904188218486, 0.0013456188068669901, 0.9969480389990769, -0.07805636966911506, -0.012492118772808815, 0.07806710797439621, 0.9968698378530068, 349
58, 59, 90, 95, 0.04401469564005837, -0.8508598150864758, 0.05366626651672246, 0.9999614620515589, -0.005323175993235157, 0.006981275603620412, 0.005585712976719147, 0.9992567258638262, -0.03814178321011322, -0.006773051177303336, 0.038179308705771624, 0.9992479502928683, 120
60, 61, 4, 5, 0.008834097090116932, 0.0005739769554353457, -0.003120067480180888, 0.9999901691555162, 0.0018739345454708135, -0.004018701486973212, -0.0018743033438530414, 0.99999823961938, -8.800634651047381e-05, 0.004018529494396, 9.553774696874211e-05, 0.9999919211139866, 919
61, 62, 5, 10, 0.05042273397917748, 0.004317802090176019, 0.013528148068544172, 0.9999894636886509, 0.0014042699398999592, -0.004370416183892636, -0.0014218968533699816, 0.9999908575501031, -0.004032744170872812, 0.00436471316616674, 0.004038915961644561, 0.9999823180620901, 745
62, 63, 10, 15, 0.016229923515335195, 0.013979920162286044, 0.02530163708017567, 0.9999935885305867, 0.003202648441937198, -0.0016018553855575368, -0.003208293997655047, 0.9999886076465404, -0.0035343212585925462, 0.0015905179481819944, 0.003539437821419265, 0.9999924712879417, 729
63, 64, 15, 20, -0.015837715556444944, 0.0030987053657495598, 0.021247762229719417, 0.9999909681846155, -0.003280113231688032, 0.0027026665318546023, 0.0032711109332376944, 0.9999891100358572, 0.0033286097633463286, -0.002713555316840925, -0.0033197389779162706, 0.9999908079330835, 751
64, 65, 20, 26, -0.025922887655243594, 0.010413124316432527, -0.010916525315683502, 0.9999879875533908, -0.00015751900269978786, 0.00489897302349774, 0.0001528831443884107, 0.999999540238304, 0.0009466519552071882, -0.004899119886810291, -0.0009458916132001453, 0.9999875518792168, 776
65, 66, 26, 32, -0.012428934455071308, 0.0001321271964522925, -0.0028040276739902167, 0.9999275974683716, 0.005675227670737708, -0.01061091947080213, -0.005662689109865397, 0.9999832331669158, 0.0012113369006367465, 0.010617616171983443, -0.001151162858645595, 0.9999429688991756, 893
